service_date,day_type,bus,rail_boardings,total_rides
12/23/01,U,393359,184628,577987
12/24/01,W,525908,257022,782930
12/25/01,U,218872,93525,312397
12/26/01,W,619967,380064,1000031
12/27/01,W,690465,436814,1127279
12/28/01,W,739404,456879,1196283
12/29/01,A,473194,224772,697966
12/30/01,U,306871,160102,466973
12/31/01,W,650794,321388,972182
1/1/02,U,294360,122471,416831
1/2/02,W,766853,491630,1258483
1/3/02,W,838088,523292,1361380
1/4/02,W,858709,528849,1387558
1/5/02,A,542470,245820,788290
1/6/02,U,370508,177606,548114
1/7/02,W,953807,568929,1522736
1/8/02,W,973200,585667,1558867
1/9/02,W,985622,591671,1577293
1/10/02,W,974188,591742,1565930
1/11/02,W,1006535,591718,1598253
1/12/02,A,565955,266826,832781
1/13/02,U,371378,176272,547650
1/14/02,W,985931,593642,1579573
1/15/02,W,983090,601489,1584579
1/16/02,W,955758,608009,1563767
1/17/02,W,968715,598282,1566997
1/18/02,W,967930,581331,1549261
1/19/02,A,556405,273407,829812
1/20/02,U,374069,180903,554972
1/21/02,W,648994,392312,1041306
1/22/02,W,1012565,603877,1616442
1/23/02,W,990484,600427,1590911
1/24/02,W,1007218,605974,1613192
1/25/02,W,1028432,601352,1629784
1/26/02,A,611356,283489,894845
1/27/02,U,408878,189116,597994
1/28/02,W,1009923,595606,1605529
1/29/02,W,979719,597598,1577317
1/30/02,W,936013,602737,1538750
1/31/02,W,879895,602988,1482883
2/1/02,W,954707,585087,1539794
2/2/02,A,614544,273954,888498
2/3/02,U,401958,180019,581977
2/4/02,W,988315,576117,1564432
2/5/02,W,997471,596800,1594271
2/6/02,W,1011650,597747,1609397
2/7/02,W,1011915,600731,1612646
2/8/02,W,1027036,594502,1621538
2/9/02,A,650477,296011,946488
2/10/02,U,379613,180097,559710
2/11/02,W,985014,592118,1577132
2/12/02,W,811567,541814,1353381
2/13/02,W,1019675,612626,1632301
2/14/02,W,1014122,609706,1623828
2/15/02,W,1007654,589737,1597391
2/16/02,A,617307,292835,910142
2/17/02,U,423922,209261,633183
2/18/02,W,759013,458524,1217537
2/19/02,W,985390,597374,1582764
2/20/02,W,986615,601360,1587975
2/21/02,W,977261,603816,1581077
2/22/02,W,1016162,592329,1608491
2/23/02,A,629609,292764,922373
2/24/02,U,421160,199343,620503
2/25/02,W,979843,581612,1561455
2/26/02,W,933204,587918,1521122
2/27/02,W,939542,587701,1527243
2/28/02,W,941136,592045,1533181
3/1/02,W,973482,593596,1567078
3/2/02,A,512767,264847,777614
3/3/02,U,331715,174890,506605
3/4/02,W,726815,493625,1220440
3/5/02,W,978944,588656,1567600
3/6/02,W,1008215,593126,1601341
3/7/02,W,1008102,594952,1603054
3/8/02,W,993813,587766,1581579
3/9/02,A,493346,254471,747817
3/10/02,U,361758,180401,542159
3/11/02,W,1008613,591093,1599706
3/12/02,W,1021380,612457,1633837
3/13/02,W,1022145,615718,1637863
3/14/02,W,1010579,607626,1618205
3/15/02,W,1005654,591415,1597069
3/16/02,A,615103,342098,957201
3/17/02,U,390344,189640,579984
3/18/02,W,992913,579486,1572399
3/19/02,W,990801,590290,1581091
3/20/02,W,993245,591401,1584646
3/21/02,W,930667,574802,1505469
3/22/02,W,961386,564876,1526262
3/23/02,A,617210,290118,907328
3/24/02,U,370997,190845,561842
3/25/02,W,895573,544841,1440414
3/26/02,W,938869,571086,1509955
3/27/02,W,989393,580724,1570117
3/28/02,W,965734,571056,1536790
3/29/02,W,755230,472276,1227506
3/30/02,A,616271,268843,885114
3/31/02,U,377026,158135,535161
4/1/02,W,971162,566861,1538023
4/2/02,W,970537,585155,1555692
4/3/02,W,1007100,597081,1604181
4/4/02,W,995075,600930,1596005
4/5/02,W,1014222,613919,1628141
4/6/02,A,639707,318104,957811
4/7/02,U,355354,180625,535979
4/8/02,W,937560,578417,1515977
4/9/02,W,1013106,607047,1620153
4/10/02,W,1020986,618972,1639958
4/11/02,W,1036014,629240,1665254
4/12/02,W,917031,591700,1508731
4/13/02,A,631465,308737,940202
4/14/02,U,438900,210876,649776
4/15/02,W,926258,586214,1512472
4/16/02,W,899896,599906,1499802
4/17/02,W,892185,593532,1485717
4/18/02,W,896865,594280,1491145
4/19/02,W,905545,591974,1497519
4/20/02,A,574009,300177,874186
4/21/02,U,356144,190405,546549
4/22/02,W,974101,583247,1557348
4/23/02,W,1021788,620463,1642251
4/24/02,W,918721,602085,1520806
4/25/02,W,1000933,626040,1626973
4/26/02,W,1026348,615024,1641372
4/27/02,A,513069,272746,785815
4/28/02,U,365481,201038,566519
4/29/02,W,1001321,584792,1586113
4/30/02,W,1000608,604417,1605025
5/1/02,W,1031532,605198,1636730
5/2/02,W,976392,598086,1574478
5/3/02,W,1075694,606513,1682207
5/4/02,A,660227,312131,972358
5/5/02,U,443915,207913,651828
5/6/02,W,994227,598141,1592368
5/7/02,W,1010608,616111,1626719
5/8/02,W,968509,600435,1568944
5/9/02,W,1009271,614202,1623473
5/10/02,W,1047188,609528,1656716
5/11/02,A,492841,252501,745342
5/12/02,U,358446,185931,544377
5/13/02,W,975822,570031,1545853
5/14/02,W,1009365,598752,1608117
5/15/02,W,1015551,600667,1616218
5/16/02,W,906240,579727,1485967
5/17/02,W,991682,583205,1574887
5/18/02,A,638862,298727,937589
5/19/02,U,419434,204421,623855
5/20/02,W,994112,582646,1576758
5/21/02,W,1008846,613667,1622513
5/22/02,W,999920,618307,1618227
5/23/02,W,969174,606199,1575373
5/24/02,W,995434,576461,1571895
5/25/02,A,558891,270672,829563
5/26/02,U,436570,216172,652742
5/27/02,U,395210,200876,596086
5/28/02,W,959547,588932,1548479
5/29/02,W,980049,601576,1581625
5/30/02,W,990460,606972,1597432
5/31/02,W,1040502,635809,1676311
6/1/02,A,667264,371223,1038487
6/2/02,U,423135,238648,661783
6/3/02,W,1001778,583147,1584925
6/4/02,W,915667,575065,1490732
6/5/02,W,1005307,602096,1607403
6/6/02,W,1044279,611344,1655623
6/7/02,W,1036716,606193,1642909
6/8/02,A,649574,323142,972716
6/9/02,U,446760,228298,675058
6/10/02,W,944065,583512,1527577
6/11/02,W,969387,604162,1573549
6/12/02,W,986714,606658,1593372
6/13/02,W,967153,596032,1563185
6/14/02,W,980140,605447,1585587
6/15/02,A,644968,318379,963347
6/16/02,U,456833,225229,682062
6/17/02,W,980090,576747,1556837
6/18/02,W,996706,619540,1616246
6/19/02,W,992928,618449,1611377
6/20/02,W,975703,628191,1603894
6/21/02,W,979910,616117,1596027
6/22/02,A,634013,341170,975183
6/23/02,U,444454,232456,676910
6/24/02,W,884749,597643,1482392
6/25/02,W,926613,600847,1527460
6/26/02,W,879533,601333,1480866
6/27/02,W,914452,613276,1527728
6/28/02,W,934562,650340,1584902
6/29/02,A,636792,369705,1006497
6/30/02,U,441101,309418,750519
7/1/02,W,948966,601509,1550475
7/2/02,W,955991,621541,1577532
7/3/02,W,1004276,785621,1789897
7/4/02,U,441126,279204,720330
7/5/02,W,807831,500685,1308516
7/6/02,A,597877,324834,922711
7/7/02,U,445916,256321,702237
7/8/02,W,929870,575055,1504925
7/9/02,W,919623,579348,1498971
7/10/02,W,941513,591208,1532721
7/11/02,W,969657,594276,1563933
7/12/02,W,963191,618865,1582056
7/13/02,A,624850,324416,949266
7/14/02,U,433166,239865,673031
7/15/02,W,949705,608087,1557792
7/16/02,W,946077,621832,1567909
7/17/02,W,931752,595378,1527130
7/18/02,W,942643,596288,1538931
7/19/02,W,960153,612971,1573124
7/20/02,A,635657,339113,974770
7/21/02,U,412477,229156,641633
7/22/02,W,900537,595784,1496321
7/23/02,W,955084,623156,1578240
7/24/02,W,945502,617518,1563020
7/25/02,W,931679,608190,1539869
7/26/02,W,942389,590601,1532990
7/27/02,A,595484,327980,923464
7/28/02,U,414913,215040,629953
7/29/02,W,893147,565324,1458471
7/30/02,W,934322,614162,1548484
7/31/02,W,912632,603775,1516407
8/1/02,W,969159,607964,1577123
8/2/02,W,1004199,612785,1616984
8/3/02,A,674990,325279,1000269
8/4/02,U,451144,234620,685764
